,Nom_Resto,Type_Cuisine,Type_Repas,Arrondissement
804,Wrap 'N Roll Sushi,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75009
805,Ninar,Moyen-Orient,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",03
806,Clairiere,Végétariens bienvenus,"Déjeuner, Dîner",75009
807,RESTAURANT MANDOOBAR,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75008
808,Café des Ministères,"Déjeuner, Dîner, Boissons","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table, Bières & Vins, Wi-Fi gratuit",75007
809,Zébulon Palais Royal,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75001
810,Le Chef Thaï,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",59
811,La Cloche d'Or,"Française, Européenne","Dîner, Boissons",75009
812,La Fresque,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",00
813,Le Grand Pan,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75015
814,Restaurant Obrigado Paris,Végétariens bienvenus,"Déjeuner, Dîner",75020
815,Le Carpaccio,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75008
816,L'Ilot Vache,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75004
817,Couscous Deli,"Tunisienne, Africaine, Fusion, Algérien","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75011
818,Siamsa,"Française, Européenne, Moderne","Végétariens bienvenus, Choix végétaliens",75011
819,Chez Pierrot,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75002
820,Restaurant Sur la Braise,"Steakhouse, Barbecue/Grillades, Argentine, Française, Grillades","Déjeuner, Dîner",75006
821,Louise Café,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75001
822,L'Epigramme,Française,"Végétariens bienvenus, Plats sans gluten",75006
823,Creperie de Pontivy,"Française, Européenne","Choix végétaliens, Végétariens bienvenus",75015
824,Monjul,"Française, Européenne, Saine, Moderne, Fusion","Végétariens bienvenus, Choix végétaliens",75004
825,Pascade,"Française, Européenne",Végétariens bienvenus,75002
826,Le Villaret,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75011
827,Le Picotin,"Française, Européenne",Végétariens bienvenus,75012
828,Les Saisons,Française,Végétariens bienvenus,52
829,Au Bouquet St. Paul,"Française, Café",Végétariens bienvenus,75004
830,Moonshiner,"Dîner, Ouvert tard, Boissons","Places assises, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75011
831,Baosian,"Asiatique, Thaï, Fusion, Vietnamienne","Végétariens bienvenus, Choix végétaliens",75009
832,Asia Bo bun,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard, Boissons",75011
833,Zen,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75001
834,SAaM,"Asiatique, Coréenne","Végétariens bienvenus, Choix végétaliens",59
835,La Place Royale,Française,"Végétariens bienvenus, Plats sans gluten",75004
836,Chez Fernand,"Française, Européenne","Déjeuner, Dîner, Boissons",75006
837,Little Red Door,"Sert de l'alcool, Wi-Fi gratuit, Places assises, Bar complet, Bières & Vins, Mastercard acceptée, Visa acceptée, Accepte les cartes bancaires, Service de table","Sert de l'alcool, Wi-Fi gratuit, Places assises, Bar complet, Bières & Vins, Mastercard acceptée, Visa acceptée, Accepte les cartes bancaires, Service de table",75003
838,The Frog and Princess,"Bar, Pub, Bar à bières",Végétariens bienvenus,75006
839,Camélia,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",51
840,Ten Chi Sun,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75014
841,Via Del Campo,"Italienne, Méditerranéenne, Sarde, Italie du Sud",Végétariens bienvenus,75007
842,La Bringue,Végétariens bienvenus,"Déjeuner, Dîner",75010
843,L'Ambre Bar,"Réservations, Places assises, Sert de l'alcool, Bar complet, Service de table","Réservations, Places assises, Sert de l'alcool, Bar complet, Service de table",75017
844,Pain Vin Fromage,"Française, Européenne, Europe centrale",Végétariens bienvenus,75004
845,Crêpe Avenue,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75008
846,Le Sergent Recruteur,"Française, Européenne",Végétariens bienvenus,75004
847,Spezia Piadina & Co,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75008
848,Au Bougnat,Française,Végétariens bienvenus,75004
849,Le Bon Georges,"Française, Européenne","Déjeuner, Dîner",75009
850,Le Coq et l'Elephant,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Service de table",75005
851,Le Mesturet,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens",77
852,Bistro des Augustins,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Brunch, Ouvert tard",75006
853,La Crêperie d'Arnaud,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75019
854,O’Riz Blanc,"Asiatique, Thaï, Vietnamienne, Chinoise","Végétariens bienvenus, Choix végétaliens",75011
855,Bistrot du Sommelier,"Française, Européenne, Brasserie gastronomique",Plats sans gluten,75008
856,Le Sot L'y Laisse,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",70
857,Semilla,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",54
858,Chez Fernand Christine,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75006
859,Evi Evane,"Méditerranéenne, Européenne, Grecque","Végétariens bienvenus, Choix végétaliens",75006
860,Xin Gainian,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard, Boissons",55
861,Mariage Freres,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Brunch",75004
862,Automne,Française,"Déjeuner, Dîner",75011
863,Schwartz's Deli,"Végétariens bienvenus, Casher","Déjeuner, Dîner, Brunch, Ouvert tard",75004
864,La Brigout,"Française, Européenne",Végétariens bienvenus,54
865,Détour,Végétariens bienvenus,"Déjeuner, Dîner",75009
866,En attendant l'Or,"Française, Européenne",Végétariens bienvenus,75011
867,Minori,"Japonaise, Sushi, Asiatique","Végétariens bienvenus, Choix végétaliens",75004
868,L'Encrier,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",55
869,La Taverne de Montmartre,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75018
870,Le Saigon d'Antan,"Asiatique, Vietnamienne, Internationale","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
871,LE LOUVRE RIPAILLE,"Française, Européenne",Végétariens bienvenus,75001
872,Les Affranchis,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75009
873,Certa,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",75008
874,Le Joy,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch",75008
875,Le 39V,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75008
876,La robe de la Girafe,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75011
877,Chez Jaafar,"Méditerranéenne, Moyen-Orient, Tunisienne","Végétariens bienvenus, Choix végétaliens, Halal",75005
878,Pizza Amalfi,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75015
879,Le Coq & Fils - The Poultry House,"Française, Saine","Déjeuner, Dîner, Ouvert tard",75018
880,Louie Louie,Végétariens bienvenus,"Déjeuner, Dîner",78
881,Violetta et Alfredo - Salon de thé,"Française, Internationale, Espagnole",Végétariens bienvenus,75009
882,L'Alivi,"Française, Méditerranéenne, Européenne",Végétariens bienvenus,75004
883,Le Centenaire,Végétariens bienvenus,"Déjeuner, Dîner, Brunch, Ouvert tard",04
884,Fulgurances L'adresse,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75011
885,SOYA,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Brunch, Ouvert tard",75011
886,Les Jardins de Shah Jahan,Indienne,"Végétariens bienvenus, Choix végétaliens",79
887,La Truffière,"Française, Européenne, Moderne","Déjeuner, Dîner, Boissons",75005
888,Korean Barbecue Champs-Elysées,"Barbecue/Grillades, Asiatique, Grillades","Déjeuner, Dîner",75008
889,Organisation Des Burgers Unis,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",00
890,Soon Restaurant,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Boissons",75008
891,Monteverdi,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
892,La Marine,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",55
893,Les Grands Enfants,"Française, Européenne","Végétariens bienvenus, Halal",75020
894,Restaurant Niebe,Brésilienne,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
895,La Petite Chaise,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75007
896,Crêperie le petit Josselin,Française,Végétariens bienvenus,59
897,EV Brochettes & Mezzes,"Turque, Grecque, Méditerranéenne, Cuisine de rue (street food)","Végétariens bienvenus, Choix végétaliens",54
898,Prosper et Fortunee,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner",50
899,Le Percolateur,"Française, Européenne",Végétariens bienvenus,75008
900,Hugo&Co,"Française, Européenne","Française, Européenne",75005
901,Hoppy Corner,"Pub, Bar","Ouvert tard, Boissons",75002
902,Aux Anysetiers Du Roy Restaurant,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",75004
903,Laïa,"Italienne, Barbecue/Grillades, Espagnole, Saine, Française","Déjeuner, Dîner, Ouvert tard, Boissons",75011
904,Le Sirocco,"Africaine, Marocaine, Méditerranéenne, Moyen-Orient","Végétariens bienvenus, Choix végétaliens, Halal",75013
905,La Crêperie,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75008
906,Le Point Zero,"Bar à vins, Française, Bar, Brasserie gastronomique",Végétariens bienvenus,75002
907,Mé Miam,Végétariens bienvenus,"Déjeuner, Dîner",
908,L'Ami Jean,"Française, Européenne, Brasserie gastronomique","Déjeuner, Dîner, Ouvert tard",75007
909,Le Sarrasin et le Froment Creperie,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",
910,Le Scheffer,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75116
911,Il Bacaro,Italienne,Végétariens bienvenus,75011
912,Chez Denise,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table, American Express acceptée, Mastercard acceptée",75001
913,Pomze,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",09
914,Pot O Lait,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75005
915,Pizzeria Popolare,"Italienne, Pizza, Méditerranéenne, Européenne, Napolitaine, Campanie, Italie du Sud",Végétariens bienvenus,75002
916,Rivoluzione - Cantine Italienne,"Italienne, Pizza, Cuisine de rue (street food)",Végétariens bienvenus,75011
917,Il Quadrifoglio,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner",75004
918,Creperie Bretonne Fleurie,Française,Végétariens bienvenus,75011
919,Tien Hiang,"Chinoise, Asiatique, Thaï, Vietnamienne, Fusion","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75010
920,Dads Den,"Française, Steakhouse, Bar à vins, Européenne","Dîner, Déjeuner",75004
921,La Table Libanaise,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75015
922,Bistro Volnay,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75002
923,Alchimie,"Terrasse, Places assises, Wi-Fi gratuit, Service de table, Accès personnes handicapées","Terrasse, Places assises, Wi-Fi gratuit, Service de table, Accès personnes handicapées",75014
924,Le Chalet Savoyard,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",58
925,Les Darons,"Déjeuner, Dîner, Ouvert tard, Boissons","Réservations, Terrasse, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",04
926,Poulette,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75001
927,Iovine's,"Pizza, Napolitaine, Campanie, Italie du Sud","Végétariens bienvenus, Choix végétaliens",7Bis
928,Gabylou,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Brunch, Boissons",75017
929,ParisFeni,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75011
930,Chez Neung,"Asiatique, Thaï","Végétariens bienvenus, Choix végétaliens",70
931,ISANA,"Mexicaine, Péruvienne, Latino, Argentine, Amérique centrale","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75009
932,Rumeurs,"Française, Méditerranéenne, Européenne, Espagnole, Bar à vins","Déjeuner, Dîner, Brunch",75005
933,Mariage Frères,"Petit déjeuner, Déjeuner, Brunch","Réservations, Places assises, Service de table",75006
934,Blossom,"Française, Moderne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
935,L'Homme Bleu,"Marocaine, Méditerranéenne, Africaine, Moyen-Orient","Végétariens bienvenus, Choix végétaliens, Halal",55
936,Restaurant Victor,Française,Végétariens bienvenus,01
937,L'agrume,"Française, Européenne",Végétariens bienvenus,75005
938,Chez Alain Miam Miam,"Végétariens bienvenus, Choix végétaliens",Déjeuner,75003
939,Milo,"Italienne, Pizza, Méditerranéenne","Végétariens bienvenus, Choix végétaliens",75001
940,Rooster par Frédéric Duca,"Française, Philippine, Européenne","Déjeuner, Dîner",75017
941,L'Assiette,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75014
942,La Famiglia,"Italienne, Méditerranéenne, Européenne, Napolitaine, Campanie, Italie du Sud","Végétariens bienvenus, Choix végétaliens",75017
943,Les Fauves,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75014
944,Auberge de la Reine Blanche,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table, Chèques-cadeaux disponibles",75004
945,Le Crabe Marteau,Plats sans gluten,"Déjeuner, Dîner, Ouvert tard",75017
946,Le Bastringue,"Française, Bar, Européenne","Végétariens bienvenus, Choix végétaliens",75019
947,L'Iliade,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",59
948,IL Gigolo,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75005
949,Afaria,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75015
950,La Corte,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75001
951,Allo Tandoori,Végétariens bienvenus,"Déjeuner, Dîner",75018
952,Académie de la bière,"Française, Belge, Bar, Européenne, Pub",Végétariens bienvenus,75005
953,Kushikatsu Bon,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75011
954,Farago Pintxo Club,"Méditerranéenne, Européenne, Espagnole","Végétariens bienvenus, Choix végétaliens",75010
955,Pavyllon,"Italienne, Française, Japonaise, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",75008
956,Fratelli,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75017
957,BigLove,"Italienne, Pizza, Méditerranéenne, Européenne, Napolitaine, Campanie, Italie du Sud","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75003
958,Beyit Jedo,"Libanaise, Moyen-Orient","Végétariens bienvenus, Choix végétaliens",75012
959,Chez Georges,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",75002
960,Brasserie Baroche,"Française, Bar, Européenne, Brasserie gastronomique","Végétariens bienvenus, Choix végétaliens",01
961,Chez le Libanais,"Végétariens bienvenus, Choix végétaliens, Halal","Déjeuner, Dîner, Ouvert tard",75006
962,Chez Nenesse,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75003
963,Simonetta Restaurant,"Italienne, Pizza, Méditerranéenne, Européenne, Napolitaine, Campanie, Italie du Sud","Végétariens bienvenus, Choix végétaliens",75019
964,Aux Artistes,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75015
965,Le P'tit Bréguet,Française,"Déjeuner, Dîner, Ouvert tard",75011
966,Le Robinet d'Or,"Française, Européenne",Végétariens bienvenus,75010
967,Le Parc Aux Cerfs,"Française, Européenne, Brasserie gastronomique","Déjeuner, Dîner, Ouvert tard",50
968,Gandhi Ji's,Indienne,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75009
969,La Contre-Allée,"Française, Européenne, Brasserie gastronomique",Végétariens bienvenus,75014
970,Clamato,Plats sans gluten,"Déjeuner, Dîner, Ouvert tard",75011
971,Le Cafe Jacquemart-Andre,"Française, Café, Européenne","Végétariens bienvenus, Choix végétaliens",58
972,Les Canailles Ménilmontant,Française,"Déjeuner, Dîner",75020
973,Matsuhisa Paris,"Japonaise, Asiatique, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
974,Cafe de la Regence,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Déjeuner, Dîner, Brunch",75001
975,New Jawad,"Indienne, Asiatique, Saine, Pakistanaise","Végétariens bienvenus, Choix végétaliens, Halal, Plats sans gluten",75007
976,Le Fumoir,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",75001
977,le Trumilou,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75004
978,La Poulette de Grain,"Déjeuner, Dîner, Brunch","Réservations, Terrasse, Places assises, Chaises hautes disponibles, Accès personnes handicapées, Sert de l'alcool, Bar complet, Wi-Fi gratuit, Accepte les cartes bancaires, Service de table",75011
979,Lou tiap,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75020
980,Au Petit Riche,"Française, Européenne",Végétariens bienvenus,75009
981,Le Mathusalem,"Déjeuner, Dîner","Réservations, Terrasse, Places assises, Service de voiturier, Accès personnes handicapées, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75016
982,Makham Thaï,"Thaï, Asiatique",Végétariens bienvenus,75009
983,Su Misura,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75007
984,O Corcovado,"Sud-américaine, Brésilienne, Latino","Boissons, Déjeuner, Dîner",52
985,Abydoise,"Française, Européenne","Déjeuner, Dîner",75017
986,Kintaro,"Japonaise, Sushi, Asiatique",Végétariens bienvenus,06
987,Les Petits Pois,"Française, Européenne","Déjeuner, Dîner, Brunch",75005
988,Tzeferakos,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75005
989,Soon Grill,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",78
990,Le Fusain - FERMÉ,"Française, Européenne, Bar à vins","Brunch, Dîner, Boissons",75018
991,Gaston,"Déjeuner, Dîner","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75017
992,Septime,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75011
993,Shu,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75006
994,Piccolo Caratello,Italienne,"Végétariens bienvenus, Choix végétaliens",75018
995,Mi Ranchito Paisa,"Latino, Colombienne",Végétariens bienvenus,75009
996,MoSuke,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Service de table",75014
997,Le Coupe-Chou,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75005
998,Le 52,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",52
999,Clover Green,Végétariens bienvenus,"Déjeuner, Dîner",75007
1000,L'Office,"Française, Moderne, Diner, Brasserie gastronomique","Française, Moderne, Diner, Brasserie gastronomique",75009
1001,Il Duca,"Choix végétaliens, Végétariens bienvenus","Déjeuner, Dîner, Ouvert tard",75018
1002,Hakata Ramen Choten,Végétariens bienvenus,"Déjeuner, Dîner",53
1003,LE PIED DE FOUET,Végétariens bienvenus,Dîner,75007
1004,Le Chanard,"Française, Européenne",Végétariens bienvenus,75004
1005,Restaurant Caillebotte,"Française, Européenne","Déjeuner, Dîner",75009
1006,5 Pailles,"Européenne, Moderne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",79
1007,L'Absinthe,"Française, Moderne, Européenne","Végétariens bienvenus, Choix végétaliens",75001
1008,Lithang,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75005
1009,O Fil Rouge,"Française, Européenne","Déjeuner, Dîner",75015
1010,Les Marmites de Fa,Africaine,"Déjeuner, Dîner",75009
1011,Kintaro Ramen,"Japonaise, Asiatique, Saine","Végétariens bienvenus, Choix végétaliens",75002
1012,Les Fabricants,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75011
1013,Café Antonia,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
1014,Chouette,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75020
1015,Josephine Chez Dumonet,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75006
1016,Cafe de la Butte,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",71
1017,Ristorante Garum,Choix végétaliens,"Déjeuner, Dîner",75011
1018,L'Arpège,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75007
1019,A Deux Pas,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Service de table",55
1020,Prive de dessert Aligre,Française,"Végétariens bienvenus, Plats sans gluten",75012
1021,La Table d'Aligre,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75012
1022,Village Ung,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75008
1023,Venezia,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75012
1024,Distrito Frances,"Mexicaine, Latino, Amérique centrale","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75010
1025,Benedict,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Brunch, Ouvert tard",75004
1026,Le Petit Broc',Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard",06
1027,Camille,Végétariens bienvenus,"Déjeuner, Dîner, Brunch, Ouvert tard",75003
1028,Balagan,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75001
1029,Le Petit Villiers,"Française, Européenne","Déjeuner, Dîner, Ouvert tard, Boissons",75
1030,La Favorite Turbigo,"Française, Bar, Moderne, Bars-restaurants",Végétariens bienvenus,75
1031,Ristorante Tosca,Italienne,"Végétariens bienvenus, Choix végétaliens",75008
1032,Piccola Roma,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75116
1033,Le Bistrot des Vignes,"Française, Européenne",Végétariens bienvenus,75016
1034,Patita Negra,"Espagnole, Méditerranéenne","Déjeuner, Dîner",75004
1035,Fenêtre sur Cour,"Bar à bières, Diner, Brasserie gastronomique, Française, Américaine, Européenne","Végétariens bienvenus, Choix végétaliens",75012
1036,La Maison de Verlaine,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75005
1037,L'Orangerie,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",75004
1038,Boulom,"Végétariens bienvenus, Choix végétaliens","Petit déjeuner, Déjeuner, Dîner, Brunch",75018
1039,La Comète,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75011
1040,Oh ! Popotes,Française,"Déjeuner, Dîner",75015
1041,Karamna,"Libanaise, Méditerranéenne, Barbecue/Grillades, Traiteur, Moyen-Orient","Végétariens bienvenus, Choix végétaliens",77
1042,Gallery Café Aux Arts Etc,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
1043,Fellini,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75001
1044,Bonjour vietnam,"Asiatique, Vietnamienne","Végétariens bienvenus, Choix végétaliens",75005
1045,Saudade,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75001
1046,Le Berry,Française,"Déjeuner, Dîner",75017
1047,Mystery Cuisine,Dîner,"Réservations, Salle privée, Places assises, Sert de l'alcool",75001
1048,TUK TUK : Thai Street Food,Thaï,"Végétariens bienvenus, Plats sans gluten",75008
1049,Café des Musées,Française,"Végétariens bienvenus, Plats sans gluten",75003
1050,Fajitas,"Mexicaine, Latino, Amérique centrale","Végétariens bienvenus, Choix végétaliens",75006
1051,Villa Dondelli,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75002
1052,Opium la Cabane,Plats sans gluten,"Déjeuner, Dîner, Ouvert tard",75006
1053,Le Comptoir Marrakech,"Déjeuner, Dîner","Réservations, Places assises, Accepte les cartes bancaires, Service de table, Sert de l'alcool",75013
1054,Le Petit Fer a Cheval,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",75004
1055,LE PETIT PRINCE DE PARIS,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
1056,Bugsy's,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard, Boissons",75008
1057,La Cidrerie du Marais,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75004
1058,Pom'Cannelle,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Brunch",75004
1059,Le Saint Régis,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",75004
1060,Libertino,"Déjeuner, Dîner","Plats à emporter, Réservations, Places assises, Sert de l'alcool, Bar complet, Service de table",75010
1061,Visconti,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75008
1062,LiLi,"Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75116
1063,Le Beurre Noisette,"Déjeuner, Dîner, Ouvert tard","Réservations, Salle privée, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75015
1064,Selva,"Péruvienne, Latino, Moderne, Brasserie gastronomique, Sud-américaine, Colombienne, Amérique centrale","Déjeuner, Dîner",75005
1065,Un Jour à Peyrassol,Végétariens bienvenus,"Déjeuner, Dîner",75002
1066,La Causerie,"Française, Européenne","Déjeuner, Dîner",75116
1067,Vin et Marée Suffren Ecole Militaire,"Française, Fruits de mer & Poisson, Européenne",Végétariens bienvenus,71
1068,Bistrot Papillon,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75009
1069,Pedzouille La Grange,"Déjeuner, Dîner","Réservations, Places assises, Service de table",75015
1070,La Crème de Paris,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75009
1071,Regno di Napoli,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75012
1072,Le Verre Moutarde,"Française, Européenne",Végétariens bienvenus,75017
